"HealthTopicCode","MeasureCode","TimeUnit","TimeCode","GeoCode","XValue","XLabel","YValue","YLabel","ZValue","N"
"DENGUE","ALL.AGE.PROPORTION","M","2019-01","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-02","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-03","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-04","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-05","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-06","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",1,"0-4",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",2,"5-14",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",3,"15-24",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",4,"25-44",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",5,"45-64",100,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-07","HR",6,"65+",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",1,"0-4",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",2,"5-14",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",3,"15-24",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",4,"25-44",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",5,"45-64",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-08","HR",6,"65+",NA,NA,NA,0
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",1,"0-4",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",2,"5-14",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",3,"15-24",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",4,"25-44",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",5,"45-64",100,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-09","HR",6,"65+",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",1,"0-4",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",2,"5-14",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",3,"15-24",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",4,"25-44",100,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",5,"45-64",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-10","HR",6,"65+",0,NA,NA,1
"DENGUE","ALL.AGE.PROPORTION","M","2019-11","HR",1,"0-4",0,NA,NA,1
